Track_ID,Title,Artist,Album,Label,Genre,Subgenre,Subgenre 2,BPM,Key,Mood,Light,URL,YouTube_URL,YouTube_title,YouTube_match_score,Camelot,Audio_analysis_source
PL01_0001,Changes (Mario Basanov Remix),Crazy P,Remixed,,Dance,,,123.0,F minor,,,,https://www.youtube.com/watch?v=Ydb-sy4mon4,Crazy P - Changes (Mario Basanov Remix),97.36842105263158,4A,YouTube_audio_analysis
PL01_0002,Point of View,Makebo,Point of View - Single,,House,,,123.0,F minor,,,,https://www.youtube.com/watch?v=FyfrPaeE2Pk,Point Of View,78.78787878787878,4A,YouTube_audio_analysis
PL01_0003,The Prophet (Andrew Meller Remix),Chus & Ceballos & Supernova,The Prophet (Andrew Meller Remix) - Single,,House,,,123.0,F minor,,,,https://www.youtube.com/watch?v=0SZ3NigxFAI,"Chus &amp; Ceballos , Supernova - The Prophet (Andrew Meller Remix)",93.75,4A,YouTube_audio_analysis
PL01_0004,Natural Flow (Hobin Rude Remix),Jochem Hamerling & Hobin Rude,Natural Flow - Single,,Dance,,,123.0,C# major,,,,https://www.youtube.com/watch?v=yv5_Ht7UL1M,Natural Flow (Hobin Rude Remix),67.3913043478261,3B,YouTube_audio_analysis
PL01_0005,Down Memory Lane,Davi,Down Memory Lane - Single,,House,,,123.0,C# major,,,,https://www.youtube.com/watch?v=3zrMXrcAkKI,DAVI - Down Memory Lane,95.45454545454544,3B,YouTube_audio_analysis
PL01_0006,This Time (Gorge Remix),Lovebirds,This Time (feat. Novika) [Remixes],,Dance,,,123.0,D# minor,,,,https://www.youtube.com/watch?v=DkpbGAqCw8g,Lovebirds &#39;This Time&#39; (Gorge Remix),86.8421052631579,2A,YouTube_audio_analysis
PL01_0007,Melted,Brunello,Melted - Single,,Dance,,,129.2,D# major,,,,https://www.youtube.com/watch?v=t-PaVHEhM1w,Brunello - Melted [MCIRC011],69.76744186046511,5B,YouTube_audio_analysis
PL01_0008,Veamos,Gorge,Veamos - Single,,House,,,123.0,A minor,,,,https://www.youtube.com/watch?v=9IMZ3Ko0jRg,Gorge - Veamos,92.3076923076923,8A,YouTube_audio_analysis
PL01_0009,Vertigo,Oscar L,Vertigo - Single,,Techno,,,123.0,D major,,,,https://www.youtube.com/watch?v=gCIDaG72ZoM,Vertigo,63.63636363636363,10B,YouTube_audio_analysis
PL01_0010,The Quest,Andre Zimmer,Saved My Life - EP,,House,,,129.2,D major,,,,https://www.youtube.com/watch?v=fdsu1qGS_oc,ANDRE ZIMMER - THE QUEST,95.65217391304348,10B,YouTube_audio_analysis
PL01_0011,Science Fiction,Brunello,Science Fiction - Single,,Electronic,,,129.2,D major,,,,https://www.youtube.com/watch?v=jluF-YFFbc4,Brunello — Science Fiction,96.0,10B,YouTube_audio_analysis
PL01_0012,ID Please,Morpei,ID Please - Single,,Dance,,,129.2,D major,,,,https://www.youtube.com/watch?v=2v8-1d6HJ1A,ID Please,72.0,10B,YouTube_audio_analysis
PL01_0013,Self R3B00T,Davi,Self Align - Single,,House,,,123.0,G# minor,,,,https://www.youtube.com/watch?v=2qGlUhFonPA,DAVI - Self R3BOOT,82.35294117647058,1A,YouTube_audio_analysis
PL01_0014,Midnite Man (Tim Paris Remix),Silicone Soul,The Soma 20 (Remixes),,House,,,123.0,A minor,,,,https://www.youtube.com/watch?v=YYiscKBsah0,Silicone Soul - Midnite Man (Tim Paris Remix),97.72727272727272,8A,YouTube_audio_analysis
PL01_0015,Skyfall,Nick Curly,Skyfall - Single,,House,,,123.0,G minor,,,,https://www.youtube.com/watch?v=ezDxOH-NWe8,Nick Curly - Skyfall,94.73684210526316,6A,YouTube_audio_analysis
PL01_0016,Among Us,Davi,Among Us - Single,,House,,,123.0,C minor,,,,https://www.youtube.com/watch?v=Ny0BjyJyyJI,DAVI  - Among US,89.65517241379311,5A,YouTube_audio_analysis
PL01_0017,Known...Unknown...,Brunello,Known...Unknown... - Single,,Dance,,,129.2,B minor,,,,https://www.youtube.com/watch?v=IlMNyrgkmSA,Known... Unknown...,78.26086956521739,10A,YouTube_audio_analysis
PL01_0018,Levitate,Gorge,Deeper Love - EP,,House,,,123.0,F minor,,,,https://www.youtube.com/watch?v=-F4qjbTWI7c,Levitate,72.72727272727273,4A,YouTube_audio_analysis
PL01_0019,Three,Gorge,Keep On Movin' - EP,,House,,,123.0,A minor,,,,https://www.youtube.com/watch?v=DbvMZGoN10s,Gorge - Three,91.66666666666666,8A,YouTube_audio_analysis
PL01_0020,Take U,Gorge,Be Yourself - Single,,House,,,123.0,E major,,,,https://www.youtube.com/watch?v=Exoha2bhUVY,Gorge - Take U,92.3076923076923,12B,YouTube_audio_analysis
PL01_0021,There Is No Orb,Guy Contact,Desert Portal - EP,,Trance,,,123.0,D minor,,,,https://www.youtube.com/watch?v=lePWs1LAhBw,Guy Contact - There Is No Orb [ONO Records],77.14285714285715,7A,YouTube_audio_analysis
PL01_0022,Indio Hindu,Mira (Berlin) & Christopher Schwarzwälder,Leila,,Electronic,,,117.5,G minor,,,,https://www.youtube.com/watch?v=NrABKhoI5SE,🎼MIra &amp; Chris Schwarzwalder - Indio Hindu,75.51020408163265,6A,YouTube_audio_analysis
PL01_0023,Magma,Kohra & SHFT,Osiris - Single,,House,,,123.0,B major,,,,https://www.youtube.com/watch?v=qs3nPSbkAsE,Kohra &amp; SHFT - Magma,85.71428571428572,1B,YouTube_audio_analysis
PL01_0024,Clarity (feat. David A Diaz),Mike Griego,Clarity (feat. David A Diaz) - Single,,Dance,,,117.5,E minor,,,,https://www.youtube.com/watch?v=U4DJNHDVLs8,Mike Griego &amp; David A Diaz - Clarity,65.0,9A,YouTube_audio_analysis
PL01_0025,Rainy Days,Etzu Mahkayah,Midnight Cruise - EP,,House,,,123.0,B minor,,,,https://www.youtube.com/watch?v=O27WnFnN_1M,Etzu Mahkayah - That Place,68.0,10A,YouTube_audio_analysis
PL01_0026,Self CNTRL,Davi,Self Align - Single,,House,,,123.0,G minor,,,,https://www.youtube.com/watch?v=j3SJz4DQWAs,DAVI - Self CNTRL,93.75,6A,YouTube_audio_analysis
PL01_0027,Departure,Adisyn,Departure - Single,,Techno,,,123.0,F minor,,,,https://www.youtube.com/watch?v=HHO-B7bYtPQ,Adisyn - Departure,94.11764705882352,4A,YouTube_audio_analysis
PL01_0028,Fantasmi,Camion Bazar,Sangue - EP,,Techno,,,92.3,A# minor,,,,https://www.youtube.com/watch?v=wDAdQeleR48,Camion Bazar - Emo Goblin,65.21739130434783,3A,YouTube_audio_analysis
PL01_0029,Kaleido,Marek Hemmann,In Between,,Electronic,,,123.0,A minor,,,,https://www.youtube.com/watch?v=4Lp62hv95cQ,Marek Hemmann - Kaleido,95.45454545454544,8A,YouTube_audio_analysis
